ISO 639-3,Lingua_IT,Lingua_EN,Lingua_X,Pop_Wikipedia,Pop_Unesco,Pop_Ethnologue,Nazionale,Regionale,Status_Ethnologue,Status_Unesco,Fam_linguistica_breve
aae,arbereshe,arbëresh,arbëreshë,100,"80,000",,si ,si,6b (Threatened).,D.E.,Albanese
cat,catalano algherese,catalan,català,,10000,20000,si ,si,,D.E.,Romanza
oci,occitano,occitan,occitan; langue d'oc,57500,200000,100000,si ,,4 (Educational),D.E.,Romanza
frp,francoprovenzale,franco-provençal,francoprovençâl; arpitan; arpetan; patois,70700,100000,70000,si ,si,6b (Threatened),D.E.,Romanza
wae,walser,walser,titsch,3400,200,3400,si,si,6b (Threatened),S.E.,Germanica
pms,piemontese,piedmontese,piemontèis,,2000000,1600000,no,si,5 (Developing),D.E.,Romanza
lmo,lombardo,lombard,lombard; lumbard; lumbaart,7000000,3500000,3600000,no,no,5 (Developing),D.E.,Romanza
cim,cimbro,cimbrian,zimbar,1000,400,2230,si,si,6a (Vigorous),D.E.,Germanica
mhn,mòcheno,mòcheno,bersntoler sproch,2276,1000,1900,si,,6a (Vigorous),D.E.,Germanica
lld,ladino,ladin,ladin,,30000,20000,si,,6b (Threatened),D.E.,Romanza
slv,resiano,resian,rośajanskë,,1000,,si,si,,D.E.,Slava
fur,friulano,friulian,furlan; lenghe furlane; marilenghe,526649,600000,300000,si,si,5 (Developing),D.E.,Romanza
vec,veneto,venetan,vèneto,3316819,2000000,3800000,no,si,4 (Educational),Vulnerable,Romanza
lij,ligure,ligurian,lìgure,450000,100000,500000,no,,5 (Developing),D.E.,Romanza
egl,emiliano,emilian,emiliàn,2500000,,,no,no,9 (Dormant),D.E.,Romanza
rgn,romagnolo,romagnol,rumagnòl,620000,,,no,no,9 (Dormant),D.E.,Romanza
svm,slavomolisano,molise slavic,naš jezik; na-našu; na-našo,1000,5000,1000,si,,8a (Moribund),S.E.,Slava
nap,napoletano-calabrese,neapolitan,nnapulitano,5700000,7500000,5700000,no,,5 (Developing),Vulnerable,Romanza
ell,griko,griko,griko; grico,20000,22000,20000,si,si,7 (Shifting),S.E.,Greca
scn,siciliano,sicilian,sicilianu,4700000,500000,4700000,no,no,5 (Developing),Vulnerable,Romanza
cos,corso,corsican,corsu,200000,160000,1000,no,no,5 (Developing),D.E.,Romanza
sro,sardo campidanese,campidanese sardinian,sardu campidanesu; campidanesu,670000,900000,500000,si,si,6a (Vigorous),D.E.,Romanza
sdn,sardo gallurese,gallurese,gadduresu,100000,100000,100000,no,si,6b (Threatened),D.E.,Romanza
sdc,sardo sassarese,sassarese,sassaresu; turritanu,100000,120000,100000,no,si,6b (Threatened),D.E.,Romanza
src,sardo logudorese,logudorese sardinian,sardu logudoresu; logudoresu,330000,400000,500000,si,si,6b (Threatened),D.E.,Romanza
bar,bavarese,bavarian,bayerisch,,,250000,si,,5 (Developing),,Germanica
itk,giudeo-italiano,judeo-italian,italkian,,,200,no,,8a (Moribund),,Romanza
deu,tedesco,german,deutsch,,,,si,,,,Germanica